idCustomer;addressCustomer;cityCustomer;zipcodeCustomer;lastName;firstName;email;pwd;phone
1;3874 Adipiscing Avenue;Turriff;Z6527;Mcguire;Kendall;tincidunt.orci@Proinsed.co.uk;LCL87UTG6LP;06 13 89 86 97
2;776-3610 Elementum Rd.;Barcelona;15110;Boone;Blaine;mauris.eu@sagittis.edu;WNX87UVW0ZF;06 10 39 68 41
3;Ap #575-3802 Donec Street;San Francisco;26860;Bray;McKenzie;sociis@justo.edu;JNE49IYI0EN;06 31 30 00 10
4;884-2310 In Avenue;Milwaukee;N7 2TF;Buckley;Kane;nibh@lectusante.org;IZL03VUP5SF;06 36 46 68 71
5;Ap #234-6536 Purus. Avenue;Araban;4571;Guy;Isaiah;sit.amet@vitaesodalesat.net;OIN83CTQ8GU;06 93 31 72 56
6;P.O. Box 130, 5673 Ultrices Avenue;Bamberg;566926;Zimmerman;Jillian;massa@duisemper.ca;EDU47RYX1FP;06 82 02 07 75
7;P.O. Box 261, 7987 Vestibulum. Rd.;St. Petersburg;922135;Robbins;Bruno;rutrum@Etiamimperdiet.edu;SDN45NSV2GX;06 33 98 07 74
8;7938 Semper St.;Graneros;30700;Pittman;India;velit.eget.laoreet@elit.net;QJK53MPH4GK;06 42 95 74 96
9;P.O. Box 677, 5494 Aliquet Av.;Portland;33345;Glass;Rae;non@arcuvel.com;VFZ70OHW0MV;06 22 91 79 15
10;3546 Integer Ave;Solingen;8795;Juarez;Delilah;massa.Vestibulum.accumsan@sapienimperdiet.com;HQZ21QPG4CD;06 67 90 75 52
11;Ap #339-5667 A, Av.;Chandler;1967;Bates;Plato;rhoncus.id@Nuncmauriselit.edu;MEP83IDH0JC;06 54 66 98 16
12;439-6015 Auctor Road;Sukkur;NA5 4FB;Mack;Keane;Cras.vehicula@ategestas.edu;VHS88CZZ5NI;06 80 78 60 53
13;P.O. Box 555, 4683 Egestas Road;MŽlin;209550;Young;Demetria;Nulla.tincidunt.neque@nuncac.org;CPV00DQS6OK;06 70 78 23 17
14;852-9175 Litora Ave;Valcourt;E7T 1J2;Tran;Slade;In.scelerisque@quis.com;TJB06XPQ1DK;06 29 35 79 50
15;481-5029 Sed St.;Bad Homburg v. d. Höhe;8723;Doyle;Victor;aliquet.sem@eget.ca;HDV28KYJ9PO;06 20 88 65 23
16;P.O. Box 434, 3349 Integer Ave;Marburg;87152-05705;Small;Alisa;ante.bibendum.ullamcorper@mattissemper.edu;SWM74UXM4MD;06 69 73 48 05
17;Ap #400-9557 Dictum Avenue;Lozzo Atestino;683956;Patrick;Tiger;diam.dictum@inhendrerit.net;ITU63NQH4IY;06 45 11 72 72
